Time (s),Voltage (V)
2.7999999999999986e-10,-0.08
3.199999999999989e-10,-0.08
3.5999999999999793e-10,-0.12
4.000000000000036e-10,-0.16
4.400000000000026e-10,-0.16
4.800000000000017e-10,-0.2
5.200000000000007e-10,-0.2
5.599999999999997e-10,-0.24
5.999999999999988e-10,-0.24
6.399999999999978e-10,-0.28
6.800000000000034e-10,-0.28
7.200000000000025e-10,-0.32
7.600000000000015e-10,-0.32
8.000000000000005e-10,-0.36
8.399999999999996e-10,-0.36
8.799999999999986e-10,-0.4
9.199999999999977e-10,-0.4
9.600000000000033e-10,-0.44
1.0000000000000023e-09,-0.44
1.0400000000000014e-09,-0.48
1.0800000000000004e-09,-0.48
1.1199999999999994e-09,-0.48
1.1599999999999985e-09,-0.52
1.1999999999999975e-09,-0.52
1.2400000000000032e-09,-0.56
1.2800000000000022e-09,-0.56
1.3200000000000012e-09,-0.56
1.3600000000000003e-09,-0.6
1.3999999999999993e-09,-0.6
1.4399999999999983e-09,-0.6
1.480000000000004e-09,-0.64
1.520000000000003e-09,-0.64
1.560000000000002e-09,-0.64
1.600000000000001e-09,-0.68
1.6400000000000001e-09,-0.68
1.6799999999999992e-09,-0.68
1.7199999999999982e-09,-0.72
1.7600000000000038e-09,-0.72
1.8000000000000029e-09,-0.72
1.840000000000002e-09,-0.72
1.880000000000001e-09,-0.76
1.92e-09,-0.76
1.959999999999999e-09,-0.76
1.999999999999998e-09,-0.76
2.0400000000000037e-09,-0.8
2.0800000000000027e-09,-0.8
2.1200000000000018e-09,-0.8
2.160000000000001e-09,-0.8
2.2e-09,-0.84
2.239999999999999e-09,-0.84
2.279999999999998e-09,-0.84
2.3200000000000036e-09,-0.84
2.3600000000000026e-09,-0.88
2.4000000000000016e-09,-0.88
2.4400000000000007e-09,-0.88
2.4799999999999997e-09,-0.88
2.5199999999999987e-09,-0.88
2.5599999999999978e-09,-0.88
2.6000000000000034e-09,-0.92
2.6400000000000025e-09,-0.92
2.6800000000000015e-09,-0.92
2.7200000000000005e-09,-0.92
2.7599999999999996e-09,-0.92
2.7999999999999986e-09,-0.92
2.8399999999999976e-09,-0.92
2.8800000000000033e-09,-0.92
2.9200000000000023e-09,-0.96
2.9600000000000014e-09,-0.96
3.0000000000000004e-09,-0.96
3.0399999999999994e-09,-0.96
3.0799999999999985e-09,-0.96
3.1199999999999975e-09,-0.96
3.160000000000003e-09,-0.96
3.200000000000002e-09,-0.96
3.2400000000000012e-09,-0.96
3.2800000000000003e-09,-0.96
3.3199999999999993e-09,-0.96
3.3599999999999983e-09,-0.96
3.3999999999999974e-09,-0.96
3.440000000000003e-09,-0.96
3.480000000000002e-09,-0.96
3.520000000000001e-09,-0.96
3.56e-09,-0.96
3.599999999999999e-09,-0.96
3.639999999999998e-09,-0.96
3.680000000000004e-09,-0.96
3.720000000000003e-09,-0.96
3.760000000000002e-09,-0.96
3.800000000000001e-09,-0.96
3.84e-09,-0.96
3.879999999999999e-09,-0.96
3.919999999999998e-09,-0.96
3.960000000000004e-09,-0.96
4.000000000000003e-09,-0.96
4.040000000000002e-09,-1.0
4.080000000000001e-09,-0.96
4.12e-09,-1.0
4.159999999999999e-09,-0.96
4.199999999999998e-09,-1.0
4.2400000000000036e-09,-1.0
4.280000000000003e-09,-0.96
4.320000000000002e-09,-0.96
4.360000000000001e-09,-0.96
4.4e-09,-0.96
4.439999999999999e-09,-0.96
4.479999999999998e-09,-0.96
4.5200000000000034e-09,-0.96
4.5600000000000025e-09,-0.96
4.6000000000000015e-09,-0.96
4.6400000000000005e-09,-0.96
4.6799999999999996e-09,-0.96
4.719999999999999e-09,-0.96
4.759999999999998e-09,-0.96
4.800000000000003e-09,-0.92
4.840000000000002e-09,-0.92
4.880000000000001e-09,-0.92
4.92e-09,-0.92
4.9599999999999994e-09,-0.92
4.9999999999999985e-09,-0.92
5.0399999999999975e-09,-0.88
5.080000000000003e-09,-0.88
5.120000000000002e-09,-0.88
5.160000000000001e-09,-0.88
5.2e-09,-0.84
5.239999999999999e-09,-0.84
5.279999999999998e-09,-0.84
5.319999999999997e-09,-0.8
5.360000000000003e-09,-0.8
5.400000000000002e-09,-0.8
5.440000000000001e-09,-0.76
5.48e-09,-0.76
5.519999999999999e-09,-0.76
5.559999999999998e-09,-0.76
5.600000000000004e-09,-0.72
5.640000000000003e-09,-0.72
5.680000000000002e-09,-0.72
